File,Method,Time (ms),Size (MB),Size Category
1.bmp,Sequential,15889,34.812211990356445,Very Large (>10MB)
1.bmp,OpenMP,1921,34.812211990356445,Very Large (>10MB)
1.bmp,MPI,4245,34.812211990356445,Very Large (>10MB)
1.bmp,CUDA,1773,34.812211990356445,Very Large (>10MB)
11.bmp,Sequential,1197,0.46888160705566406,Small (<1MB)
11.bmp,OpenMP,33,0.46888160705566406,Small (<1MB)
11.bmp,MPI,57,0.46888160705566406,Small (<1MB)
11.bmp,CUDA,104,0.46888160705566406,Small (<1MB)
12.bmp,Sequential,2732,4.145753860473633,Medium (1-5MB)
12.bmp,OpenMP,259,4.145753860473633,Medium (1-5MB)
12.bmp,MPI,517,4.145753860473633,Medium (1-5MB)
12.bmp,CUDA,295,4.145753860473633,Medium (1-5MB)
13.bmp,Sequential,1695,1.687631607055664,Medium (1-5MB)
13.bmp,OpenMP,117,1.687631607055664,Medium (1-5MB)
13.bmp,MPI,206,1.687631607055664,Medium (1-5MB)
13.bmp,CUDA,147,1.687631607055664,Medium (1-5MB)
14.bmp,Sequential,1805,1.937387466430664,Medium (1-5MB)
14.bmp,OpenMP,125,1.937387466430664,Medium (1-5MB)
14.bmp,MPI,238,1.937387466430664,Medium (1-5MB)
14.bmp,CUDA,162,1.937387466430664,Medium (1-5MB)
15.bmp,Sequential,2082,2.5970096588134766,Medium (1-5MB)
15.bmp,OpenMP,209,2.5970096588134766,Medium (1-5MB)
15.bmp,MPI,330,2.5970096588134766,Medium (1-5MB)
15.bmp,CUDA,219,2.5970096588134766,Medium (1-5MB)
16.bmp,Sequential,1367,0.8686504364013672,Small (<1MB)
16.bmp,OpenMP,55,0.8686504364013672,Small (<1MB)
16.bmp,MPI,106,0.8686504364013672,Small (<1MB)
16.bmp,CUDA,115,0.8686504364013672,Small (<1MB)
17.bmp,Sequential,3027,4.904916763305664,Medium (1-5MB)
17.bmp,OpenMP,301,4.904916763305664,Medium (1-5MB)
17.bmp,MPI,595,4.904916763305664,Medium (1-5MB)
17.bmp,CUDA,315,4.904916763305664,Medium (1-5MB)
19.bmp,Sequential,15114,34.487016677856445,Very Large (>10MB)
19.bmp,OpenMP,1911,34.487016677856445,Very Large (>10MB)
19.bmp,MPI,4203,34.487016677856445,Very Large (>10MB)
19.bmp,CUDA,1738,34.487016677856445,Very Large (>10MB)
2.bmp,Sequential,1258,0.6295566558837891,Small (<1MB)
2.bmp,OpenMP,42,0.6295566558837891,Small (<1MB)
2.bmp,MPI,77,0.6295566558837891,Small (<1MB)
2.bmp,CUDA,108,0.6295566558837891,Small (<1MB)
20.bmp,Sequential,1787,1.9084339141845703,Medium (1-5MB)
20.bmp,OpenMP,125,1.9084339141845703,Medium (1-5MB)
20.bmp,MPI,253,1.9084339141845703,Medium (1-5MB)
20.bmp,CUDA,167,1.9084339141845703,Medium (1-5MB)
21.bmp,Sequential,1802,1.899850845336914,Medium (1-5MB)
21.bmp,OpenMP,122,1.899850845336914,Medium (1-5MB)
21.bmp,MPI,232,1.899850845336914,Medium (1-5MB)
21.bmp,CUDA,174,1.899850845336914,Medium (1-5MB)
22.bmp,Sequential,1193,0.47506141662597656,Small (<1MB)
22.bmp,OpenMP,29,0.47506141662597656,Small (<1MB)
22.bmp,MPI,56,0.47506141662597656,Small (<1MB)
22.bmp,CUDA,86,0.47506141662597656,Small (<1MB)
23.bmp,Sequential,2044,2.5441532135009766,Medium (1-5MB)
23.bmp,OpenMP,164,2.5441532135009766,Medium (1-5MB)
23.bmp,MPI,309,2.5441532135009766,Medium (1-5MB)
23.bmp,CUDA,194,2.5441532135009766,Medium (1-5MB)
24.bmp,Sequential,5944,12.495248794555664,Very Large (>10MB)
24.bmp,OpenMP,693,12.495248794555664,Very Large (>10MB)
24.bmp,MPI,1494,12.495248794555664,Very Large (>10MB)
24.bmp,CUDA,667,12.495248794555664,Very Large (>10MB)
25.bmp,Sequential,1329,0.7944889068603516,Small (<1MB)
25.bmp,OpenMP,51,0.7944889068603516,Small (<1MB)
25.bmp,MPI,96,0.7944889068603516,Small (<1MB)
25.bmp,CUDA,101,0.7944889068603516,Small (<1MB)
26.bmp,Sequential,5594,11.844766616821289,Very Large (>10MB)
26.bmp,OpenMP,608,11.844766616821289,Very Large (>10MB)
26.bmp,MPI,1360,11.844766616821289,Very Large (>10MB)
26.bmp,CUDA,560,11.844766616821289,Very Large (>10MB)
27.bmp,Sequential,1404,0.9672031402587891,Small (<1MB)
27.bmp,OpenMP,61,0.9672031402587891,Small (<1MB)
27.bmp,MPI,117,0.9672031402587891,Small (<1MB)
27.bmp,CUDA,110,0.9672031402587891,Small (<1MB)
28.bmp,Sequential,1065,0.1447620391845703,Small (<1MB)
28.bmp,OpenMP,10,0.1447620391845703,Small (<1MB)
28.bmp,MPI,17,0.1447620391845703,Small (<1MB)
28.bmp,CUDA,73,0.1447620391845703,Small (<1MB)
29.bmp,Sequential,11848,27.23326301574707,Very Large (>10MB)
29.bmp,OpenMP,1457,27.23326301574707,Very Large (>10MB)
29.bmp,MPI,3290,27.23326301574707,Very Large (>10MB)
